fdc_id;brand;description;ingredients;servingsize
1105905;CAMPBELL SOUP COMPANY;SWANSON BROTH BEEF;INGREDIENTS: BEEF STOCK, CONTAINS LESS THAN 2% OF: MIREPOIX (CARROTS, CELERY, ONIONS), SALT, NATURAL;240.0
1105916;CAMPBELL SOUP COMPANY;CAMPBELL'S SLOW KETTLE SOUP CLAM CHOWDER;INGREDIENTS: CLAM STOCK, POTATOES, CLAMS, CREAM, VEGETABLE OIL (CORN, CANOLA, AND/OR SOYBEAN), CELER...;440.0
1105927;CAMPBELL SOUP COMPANY;CAMPBELL'S SLOW KETTLE SOUP CHEESE BROCCOLI;INGREDIENTS: WATER, CREAM, BROCCOLI, CELERY, VEGETABLE OIL (CORN, CANOLA, AND/OR SOYBEAN), MODIFIED ...;440.0
1105918;CAMPBELL SOUP COMPANY;SWANSON BROTH CHICKEN;INGREDIENTS: CHICKEN STOCK, CONTAINS LESS THAN 2% OF: YEAST EXTRACT, DEHYDRATED CHICKEN, NATURAL FLA...;240.0
1105909;CAMPBELL SOUP COMPANY;CAMPBELL'S SOUP BEAN AND HAM;INGREDIENTS: WATER, PEA BEANS, CARROTS, COOKED HAM - WATER ADDED (PORK, WATER, SALT, SUGAR, SODIUM P...;412.0
1105910;CAMPBELL SOUP COMPANY;SWANSON BROTH BEEF;INGREDIENTS: BEEF STOCK, CONTAINS LESS THAN 2% OF: MIREPOIX (CARROTS, CELERY, ONIONS), SALT, NATURAL...;411.0
1105921;CAMPBELL SOUP COMPANY;PREGO SAUCES TOMATO BASIL;INGREDIENTS: DICED TOMATOES IN TOMATO JUICE, TOMATO PUREE (WATER, TOMATO PASTE), ONIONS, OLIVE OIL, ...;120.0
1106912;CAMPBELL SOUP COMPANY;CAMPBELL'S SOUP TOMATO;INGREDIENTS: TOMATO PUREE (WATER, TOMATO PASTE), WATER, HIGH FRUCTOSE CORN SYRUP, WHEAT FLOUR, CONTA...;120.0
1106913;CAMPBELL SOUP COMPANY;CAMPBELL'S PASTA SPAGHETTIOS W FRANKS;INGREDIENTS: WATER, TOMATO PUREE (WATER, TOMATO PASTE), CHICKEN AND PORK FRANKFURTERS MADE WITH CHIC...;443.0
1107914;Bush Brothers And Company;BUSH'S Bourbon and Brown Sugar Grillin' Beans 22 oz;Prepared Navy Beans, Water, Brown Sugar, Onion, Tomato Puree (Tomato Paste, Water), Salt, Modified C...;130.0
1104915;Bush Brothers And Company;BUSH'S Organic Garbanzo Beans 110 oz;Prepared Organic Chick Peas, Water, Sea Salt.;130.0
1102916;Bush Brothers And Company;BUSH'S Smokehouse Tradition Grillin' Beans 22 oz;Prepared Navy Beans, Water, Brown Sugar. Contains 2% or Less of: Onion, Red Bell Pepper, Tomato Pure...;130.0
1103917;PEPPERIDGE FARM;PEPPERIDGE FARM BREAD TUSCAN;MADE FROM: ENRICHED WHEAT FLOUR (FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLI...;57.0
1105918;CAMPBELL SOUP COMPANY;PEPPERIDGE FARM BREAD GARLIC;MADE FROM: ENRICHED WHEAT FLOUR (FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLI...;50.0
1105919;CAMPBELL SOUP COMPANY;SWANSON BROTH CHICKEN;INGREDIENTS: CHICKEN STOCK, CONTAINS LESS THAN 2% OF: MIREPOIX (CARROTS, CELERY, ONIONS), SALT, CHIC...;240.0
1105920;PEPPERIDGE FARM;PEPPERIDGE FARM COOKIES GINGER;MADE FROM: ENRICHED WHEAT FLOUR (FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLI...;28.0
1108921;PEPPERIDGE FARM;PEPPERIDGE FARM BREAD TUSCAN;MADE FROM: ENRICHED WHEAT FLOUR (FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLI...;57.0
1105922;PEPPERIDGE FARM;PEPPERIDGE FARM COOKIES GRAHAM CHOCOLATE;MADE WITH SMILES AND WHOLE WHEAT FLOUR, SUGAR, ENRICHED WHEAT FLOUR (FLOUR, NIACIN, REDUCED IRON, TH...;30.0
1105923;PEPPERIDGE FARM;PEPPERIDGE FARM BREAD FOCACCIA;MADE FROM: ENRICHED WHEAT FLOUR (FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLI...;91.0
